what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256552364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256552385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256555334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256556098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256559658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256563336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256563471
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586256566987
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586256572769
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586256578026
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586256581857
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586256581966
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586256585899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256592542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256638610
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586256638628
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586256638789
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586256638901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256643145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1586256643195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586256647461
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586256647861
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1586256649193
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586256660136
