what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586385739298
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1586385739740
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1586385744824
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1586385744859
error,log,,,"Unable to validate connection settings.",1586385752720
error,log,,,"Unable to validate connection settings.",1586385752721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385752797
error,log,,,"Unable to validate connection settings.",1586385752887
error,log,,,"Unable to validate connection settings.",1586385752888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385757251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586385759606
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1586385759620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385760066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586385760708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586385762675
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586385764090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385767534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385768716
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1586385778673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385778856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385792987
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1586385793000
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1586385796709
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1586385796709
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1586385796710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385796743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385803653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385805295
