what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435090420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435092639
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1586435095420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435095611
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1586435097028
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1586435097330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435097590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435097843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435100016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435106002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435108429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435110353
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1586435111545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435111733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435113588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435117073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435119634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435121818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435124051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435124452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435131288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435133662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435134623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435138336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435138672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435140076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435140977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586435141872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435148058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435165521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435165859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435166228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435166574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435167037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435167347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435168500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435168867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435169820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1586435170376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435174013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435175516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435176774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435178556
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435178599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435180883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435183856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435185481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435193500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435197548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435201096
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1586435204410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435204583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1586435205513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435205743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435206154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435207112
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNextWord",1586435208604
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435209313
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435217171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435225885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435226361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435226549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435226715
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435228405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435236367
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435238561
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435241617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586435243217
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1586435245368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586435249489
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435256363
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586435256561
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435262338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435289113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435403878
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586435404605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435408487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435411148
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586435413049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435413541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435413984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435415350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586435415946
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586435416323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435416607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435418444
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586435422138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435422231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435425791
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435426271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586435426527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586435427248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435428471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435459949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435467792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435479358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586435479698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586435480432
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586435481350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435481652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435484795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435484812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435488295
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435495520
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586435495721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435499903
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435501606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435547408
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586435548604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435551295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435554148
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586435555352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586435560972
