what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586263832114
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586263833011
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586263833412
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586263837700
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586263844300
error,log,,,"Unhandled event loop exception",1586263845754
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586263848357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1586263851750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1586263852305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263852717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263907973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1586263908299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586263908545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586263909239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586263913430
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586263914972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263915274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263917365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1586263918550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586263919080
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586263920149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263920440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263922407
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586263930127
error,log,,,"Unhandled event loop exception",1586263934451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263939783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263940512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263947700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263949486
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1586263949493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586263949493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263949502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263949827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263952589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263983801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586263986032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264037250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264038082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264065838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264067010
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586264077712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264077726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586264077730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264079181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264231545
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586264231549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586264232135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1586264232512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264233109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264233822
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586264242916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264243208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264246633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586264247715
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586264261734
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586264280955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264284109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264286062
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1586264286070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1586264286070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264286078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264289575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264293983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264295573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264296846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264298945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264299071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264300234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264301046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264318615
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586264319144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1586264319379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1586264319640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586264320073
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1586264322357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264322654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264327524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264327546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264331014
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586264332989
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586264333187
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586264338774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264376511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264646521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264653467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264681852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586264683355
