what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432630789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432632087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432665140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432674653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432683433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432684982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432802772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432802802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432803950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586432809946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433089705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433089794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433090741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433098120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433101907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433102035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433103866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433400657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433400747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433402023
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586433407058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433420353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586433500791
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433500925
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433510883
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433510944
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433514921
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433515110
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433515172
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433516879
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433517032
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433520506
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433520681
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433520742
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433523077
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586433523224
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1586433526065
